Year, Month, Day, Hour, Minute, Second, Themistor, Temperature Probe, Platinum Rtd
2014,10,1,1,6,15,25.74,19.79,26.31
2014,10,1,1,6,16,24.02,21.24,24.28
2014,10,1,1,6,17,16.12,20.03,21.03
2014,10,1,1,6,18,10.51,18.42,18.06
2014,10,1,1,6,19,7.25,19.63,15.57
2014,10,1,1,6,20,5.48,18.98,13.44
2014,10,1,1,6,21,4.52,17.61,11.69
2014,10,1,1,6,23,3.85,17.53,10.24
2014,10,1,1,6,24,3.58,17.69,9.06
2014,10,1,1,6,25,3.26,18.18,8.09
2014,10,1,1,6,26,3.12,19.3,7.35
2014,10,1,1,6,27,2.9,19.87,6.77
2014,10,1,1,6,28,2.85,19.06,6.17
2014,10,1,1,6,29,2.72,18.98,5.73
2014,10,1,1,6,30,2.72,18.34,5.36
2014,10,1,1,6,31,2.67,19.14,5.09
2014,10,1,1,6,32,2.72,18.1,4.82
2014,10,1,1,6,34,2.55,17.85,4.62
2014,10,1,1,6,35,2.47,18.66,4.52
2014,10,1,1,6,36,2.47,19.3,4.42
2014,10,1,1,6,37,2.65,17.61,4.32
2014,10,1,1,6,38,2.35,18.34,4.15
2014,10,1,1,6,39,2.25,18.01,4.05
2014,10,1,1,6,40,2.33,18.18,3.95
2014,10,1,1,6,42,2.2,19.14,3.85
2014,10,1,1,6,43,2.28,17.93,3.75
2014,10,1,1,6,44,2.13,18.74,3.68
2014,10,1,1,6,45,2.1,19.38,3.61
2014,10,1,1,6,46,2.1,20.19,3.55
2014,10,1,1,6,47,2.2,17.53,3.48
2014,10,1,1,6,48,1.98,19.22,3.44
2014,10,1,1,6,49,2.13,19.14,3.38
2014,10,1,1,6,50,2.03,18.5,3.34
2014,10,1,1,6,51,2.08,19.06,3.28
2014,10,1,1,6,53,2.18,18.26,3.24
2014,10,1,1,6,54,2.1,18.98,3.18
2014,10,1,1,6,55,2.03,19.06,3.21
2014,10,1,1,6,56,1.98,19.22,3.14
2014,10,1,1,6,57,2.15,17.05,3.11
2014,10,1,1,6,58,1.93,19.22,3.07
2014,10,1,1,6,59,2.08,17.21,3.04
2014,10,1,1,7,0,1.95,18.98,3.01
2014,10,1,1,7,1,2.08,18.82,2.97
2014,10,1,1,7,2,2.03,19.47,2.97
2014,10,1,1,7,3,1.93,19.14,2.94
2014,10,1,1,7,5,2.03,18.82,2.94
2014,10,1,1,7,6,2.05,18.9,2.91
2014,10,1,1,7,7,2,18.01,2.87
2014,10,1,1,7,8,2,19.22,2.84
2014,10,1,1,7,9,2.05,16.97,2.81
2014,10,1,1,7,10,1.93,18.34,2.81
2014,10,1,1,7,11,1.9,18.66,2.81
2014,10,1,1,7,12,2.05,17.05,2.77
2014,10,1,1,7,13,1.93,18.98,2.74
2014,10,1,1,7,14,2.03,16.73,2.74
2014,10,1,1,7,15,1.9,19.38,2.7
2014,10,1,1,7,17,1.95,18.98,2.7
2014,10,1,1,7,18,2,19.22,2.7
2014,10,1,1,7,19,1.93,19.47,2.64
2014,10,1,1,7,20,1.9,19.55,2.64
2014,10,1,1,7,21,1.93,19.14,2.6
2014,10,1,1,7,22,1.95,19.38,2.6
2014,10,1,1,7,23,1.98,19.47,2.57
2014,10,1,1,7,24,1.98,18.58,2.57
2014,10,1,1,7,25,1.9,18.74,2.54
2014,10,1,1,7,26,2,19.47,2.5
2014,10,1,1,7,28,1.9,18.9,2.5
2014,10,1,1,7,29,2.05,18.58,2.47
2014,10,1,1,7,30,2.03,17.05,2.47
2014,10,1,1,7,31,1.9,19.14,2.4
2014,10,1,1,7,32,1.87,18.98,2.44
2014,10,1,1,7,33,2.03,17.05,2.44
2014,10,1,1,7,34,1.9,18.5,2.4
2014,10,1,1,7,35,1.98,17.05,2.37
2014,10,1,1,7,36,2.08,18.82,2.37
2014,10,1,1,7,37,1.98,18.9,2.34
2014,10,1,1,7,38,1.82,17.21,2.3
2014,10,1,1,7,40,1.98,18.74,2.3
2014,10,1,1,7,41,1.95,18.18,2.34
2014,10,1,1,7,42,1.7,17.21,2.3
2014,10,1,1,7,43,2.05,17.05,2.27
2014,10,1,1,7,44,1.98,19.14,2.23
2014,10,1,1,7,45,2.03,16.97,2.23
2014,10,1,1,7,46,2.03,18.98,2.23
2014,10,1,1,7,48,1.95,18.9,2.2
2014,10,1,1,7,49,1.98,18.98,2.2
2014,10,1,1,7,50,1.9,18.82,2.17
2014,10,1,1,7,51,2.03,18.74,2.17
2014,10,1,1,7,52,2.05,16.89,2.17
2014,10,1,1,7,53,2,19.06,2.13
2014,10,1,1,7,54,2,16.97,2.13
2014,10,1,1,7,55,1.9,18.42,2.13
2014,10,1,1,7,56,1.55,17.13,2.1
2014,10,1,1,7,57,1.8,17.05,2.1
2014,10,1,1,7,59,1.98,19.47,2.1
2014,10,1,1,8,0,2,18.98,2.07
2014,10,1,1,8,1,2.05,16.81,2.1
2014,10,1,1,8,2,2,19.14,2.07
2014,10,1,1,8,3,1.9,18.5,2.1
2014,10,1,1,8,4,2.03,16.97,2.07
2014,10,1,1,8,5,1.93,19.06,2.07
2014,10,1,1,8,6,1.95,18.82,2.07
2014,10,1,1,8,7,1.87,19.47,2.07
2014,10,1,1,8,8,2.05,18.66,2.03
2014,10,1,1,8,10,1.62,16.97,2
2014,10,1,1,8,11,1.93,19.06,2
2014,10,1,1,8,12,2.05,17.37,2.03
