Year, Month, Day, Hour, Minute, Second, Themistor, Temperature Probe, Platinum Rtd
2014, 10, 1, 1, 0, 11, 31.97, 20.11, 33.08
2014, 10, 1, 1, 0, 12, 32.09, 22.37, 33.12
2014, 10, 1, 1, 0, 13, 32.18, 21.88, 33.08
2014, 10, 1, 1, 0, 14, 32.25, 21.16, 33.02
2014, 10, 1, 1, 0, 15, 32.23, 20.92, 32.98
2014, 10, 1, 1, 0, 17, 32.25, 21.24, 32.91
2014, 10, 1, 1, 0, 18, 31.88, 22.45, 32.85
2014, 10, 1, 1, 0, 19, 31.69, 22.53, 32.75
2014, 10, 1, 1, 0, 20, 31.43, 22.12, 32.64
2014, 10, 1, 1, 0, 21, 31.08, 22.85, 32.51
2014, 10, 1, 1, 0, 22, 30.66, 22.69, 32.37
2014, 10, 1, 1, 0, 24, 30.36, 22.53, 32.27
2014, 10, 1, 1, 0, 25, 30.11, 22.93, 32.13
2014, 10, 1, 1, 0, 26, 29.58, 23.01, 32.00
2014, 10, 1, 1, 0, 27, 29.51, 23.09, 31.90
2014, 10, 1, 1, 0, 28, 28.19, 29.22, 31.76
2014, 10, 1, 1, 0, 29, 28.65, 23.33, 31.66
2014, 10, 1, 1, 0, 30, 28.06, 24.86, 31.56
2014, 10, 1, 1, 0, 31, 27.90, 24.22, 31.46
2014, 10, 1, 1, 0, 32, 27.59, 23.58, 31.36
2014, 10, 1, 1, 0, 33, 27.32, 24.46, 31.25
2014, 10, 1, 1, 0, 34, 27.07, 24.86, 31.15
2014, 10, 1, 1, 0, 36, 26.87, 23.74, 31.05
2014, 10, 1, 1, 0, 37, 26.85, 24.62, 30.98
2014, 10, 1, 1, 0, 38, 26.56, 24.06, 30.91
2014, 10, 1, 1, 0, 39, 26.63, 24.06, 30.91
2014, 10, 1, 1, 0, 40, 26.87, 24.54, 30.95
2014, 10, 1, 1, 0, 41, 27.34, 21.32, 30.91
2014, 10, 1, 1, 0, 42, 27.29, 24.62, 30.91
2014, 10, 1, 1, 0, 43, 28.22, 22.29, 30.88
2014, 10, 1, 1, 0, 44, 28.10, 21.40, 30.85
2014, 10, 1, 1, 0, 45, 26.91, 20.92, 30.81
2014, 10, 1, 1, 0, 47, 27.12, 22.12, 30.75
2014, 10, 1, 1, 0, 48, 26.67, 23.25, 30.64
2014, 10, 1, 1, 0, 49, 26.29, 24.70, 30.54
2014, 10, 1, 1, 0, 50, 26.54, 24.14, 30.47
2014, 10, 1, 1, 0, 51, 26.27, 24.06, 30.37
2014, 10, 1, 1, 0, 52, 25.92, 21.88, 30.30
2014, 10, 1, 1, 0, 53, 25.63, 22.29, 30.20
2014, 10, 1, 1, 0, 54, 25.52, 23.98, 30.10
2014, 10, 1, 1, 0, 55, 25.50, 22.69, 30.03
2014, 10, 1, 1, 0, 56, 25.39, 22.61, 29.97
2014, 10, 1, 1, 0, 57, 25.25, 24.14, 29.86
2014, 10, 1, 1, 0, 59, 24.59, 23.41, 29.80
2014, 10, 1, 1, 1, 0, 25.19, 23.58, 29.70
2014, 10, 1, 1, 1, 1, 24.99, 23.09, 29.63
2014, 10, 1, 1, 1, 2, 25.03, 22.69, 29.53
2014, 10, 1, 1, 1, 3, 24.84, 22.69, 29.49
2014, 10, 1, 1, 1, 4, 24.53, 24.06, 29.39
2014, 10, 1, 1, 1, 5, 24.57, 24.14, 29.36
2014, 10, 1, 1, 1, 6, 24.66, 22.61, 29.25
2014, 10, 1, 1, 1, 7, 24.57, 23.01, 29.19
2014, 10, 1, 1, 1, 8, 24.48, 23.41, 29.12
2014, 10, 1, 1, 1, 10, 24.44, 23.90, 29.09
2014, 10, 1, 1, 1, 11, 24.35, 23.74, 28.98
2014, 10, 1, 1, 1, 12, 24.31, 22.69, 28.92
2014, 10, 1, 1, 1, 13, 24.22, 23.74, 28.85
2014, 10, 1, 1, 1, 14, 24.18, 24.06, 28.81
2014, 10, 1, 1, 1, 15, 24.16, 24.14, 28.75
2014, 10, 1, 1, 1, 16, 24.07, 23.66, 28.68
2014, 10, 1, 1, 1, 17, 24.02, 24.78, 28.61
2014, 10, 1, 1, 1, 18, 23.89, 23.98, 28.54
2014, 10, 1, 1, 1, 19, 23.89, 24.38, 28.51
2014, 10, 1, 1, 1, 20, 23.87, 24.30, 28.44
2014, 10, 1, 1, 1, 22, 23.81, 24.22, 28.37
2014, 10, 1, 1, 1, 23, 23.81, 24.46, 28.31
2014, 10, 1, 1, 1, 24, 23.70, 23.49, 28.27
2014, 10, 1, 1, 1, 25, 23.68, 24.22, 28.21
2014, 10, 1, 1, 1, 26, 23.63, 23.82, 28.14
2014, 10, 1, 1, 1, 27, 23.59, 24.14, 28.07
2014, 10, 1, 1, 1, 29, 23.57, 23.90, 28.04
2014, 10, 1, 1, 1, 30, 23.54, 23.25, 27.93
2014, 10, 1, 1, 1, 31, 23.52, 23.74, 27.90
2014, 10, 1, 1, 1, 32, 23.46, 24.30, 27.83
2014, 10, 1, 1, 1, 33, 23.44, 23.82, 27.80
2014, 10, 1, 1, 1, 34, 23.44, 24.22, 27.73
2014, 10, 1, 1, 1, 35, 23.35, 23.41, 27.70
2014, 10, 1, 1, 1, 36, 23.33, 24.06, 27.63
2014, 10, 1, 1, 1, 37, 23.28, 23.41, 27.60
2014, 10, 1, 1, 1, 38, 23.31, 23.98, 27.53
2014, 10, 1, 1, 1, 39, 23.22, 24.06, 27.49
2014, 10, 1, 1, 1, 41, 23.22, 23.98, 27.46
2014, 10, 1, 1, 1, 42, 23.20, 23.74, 27.36
2014, 10, 1, 1, 1, 43, 23.20, 24.22, 27.36
2014, 10, 1, 1, 1, 44, 23.22, 22.93, 27.29
2014, 10, 1, 1, 1, 45, 23.13, 23.90, 27.22
2014, 10, 1, 1, 1, 46, 23.07, 23.58, 27.19
2014, 10, 1, 1, 1, 47, 23.09, 24.30, 27.12
2014, 10, 1, 1, 1, 48, 23.07, 24.62, 27.09
2014, 10, 1, 1, 1, 49, 23.04, 24.14, 27.05
2014, 10, 1, 1, 1, 50, 23.07, 23.74, 26.99
2014, 10, 1, 1, 1, 51, 23.00, 23.90, 26.95
2014, 10, 1, 1, 1, 53, 23.00, 24.06, 26.92
2014, 10, 1, 1, 1, 54, 22.98, 24.06, 26.88
2014, 10, 1, 1, 1, 55, 22.91, 24.22, 26.82
2014, 10, 1, 1, 1, 56, 22.96, 24.14, 26.78
2014, 10, 1, 1, 1, 57, 22.96, 23.90, 26.75
2014, 10, 1, 1, 1, 58, 22.91, 23.74, 26.72
2014, 10, 1, 1, 1, 59, 22.94, 24.06, 26.65
2014, 10, 1, 1, 2, 0, 22.91, 24.30, 26.61
2014, 10, 1, 1, 2, 1, 22.89, 23.66, 26.58
2014, 10, 1, 1, 2, 2, 22.89, 23.41, 26.51
2014, 10, 1, 1, 2, 4, 22.83, 24.22, 26.48
2014, 10, 1, 1, 2, 5, 22.87, 23.49, 26.48
2014, 10, 1, 1, 2, 6, 22.83, 23.66, 26.41
2014, 10, 1, 1, 2, 7, 22.83, 23.98, 26.38
2014, 10, 1, 1, 2, 8, 22.89, 24.30, 26.34
2014, 10, 1, 1, 2, 9, 22.81, 23.33, 26.28
2014, 10, 1, 1, 2, 10, 22.81, 23.33, 26.24
2014, 10, 1, 1, 2, 11, 22.83, 24.30, 26.24
2014, 10, 1, 1, 2, 12, 22.72, 23.49, 26.17
2014, 10, 1, 1, 2, 13, 22.81, 24.06, 26.11
2014, 10, 1, 1, 2, 14, 22.76, 23.74, 26.11
2014, 10, 1, 1, 2, 16, 22.76, 24.14, 26.07
2014, 10, 1, 1, 2, 17, 22.81, 24.14, 26.04
2014, 10, 1, 1, 2, 18, 22.76, 22.93, 26.00
2014, 10, 1, 1, 2, 19, 22.74, 23.98, 25.97
2014, 10, 1, 1, 2, 20, 22.72, 24.78, 25.94
2014, 10, 1, 1, 2, 21, 22.61, 25.43, 25.90
2014, 10, 1, 1, 2, 22, 22.74, 24.22, 25.84
2014, 10, 1, 1, 2, 23, 22.72, 23.74, 25.84
2014, 10, 1, 1, 2, 24, 22.76, 23.82, 25.80
2014, 10, 1, 1, 2, 25, 22.81, 24.54, 25.77
2014, 10, 1, 1, 2, 26, 22.76, 24.22, 25.77
2014, 10, 1, 1, 2, 28, 22.78, 23.90, 25.70
2014, 10, 1, 1, 2, 29, 22.74, 23.90, 25.67
2014, 10, 1, 1, 2, 30, 23.02, 23.82, 25.63
2014, 10, 1, 1, 2, 31, 22.74, 24.06, 25.60
2014, 10, 1, 1, 2, 32, 22.61, 23.90, 25.57
2014, 10, 1, 1, 2, 33, 22.70, 24.22, 25.53
2014, 10, 1, 1, 2, 35, 22.68, 23.98, 25.50
2014, 10, 1, 1, 2, 36, 22.70, 23.66, 25.50
2014, 10, 1, 1, 2, 37, 22.85, 24.54, 25.46
2014, 10, 1, 1, 2, 38, 22.74, 24.54, 25.43
2014, 10, 1, 1, 2, 39, 22.72, 24.06, 25.40
2014, 10, 1, 1, 2, 40, 22.72, 23.98, 25.40
2014, 10, 1, 1, 2, 41, 22.70, 24.22, 25.36
2014, 10, 1, 1, 2, 42, 22.70, 24.06, 25.33
2014, 10, 1, 1, 2, 43, 22.72, 23.01, 25.29
2014, 10, 1, 1, 2, 44, 22.78, 23.82, 25.26
2014, 10, 1, 1, 2, 46, 22.72, 24.54, 25.23
2014, 10, 1, 1, 2, 47, 22.68, 23.49, 25.23
2014, 10, 1, 1, 2, 48, 22.72, 24.30, 25.23
2014, 10, 1, 1, 2, 49, 22.68, 24.22, 25.19
2014, 10, 1, 1, 2, 50, 22.48, 23.09, 25.16
2014, 10, 1, 1, 2, 51, 22.72, 24.14, 25.13
2014, 10, 1, 1, 2, 52, 22.70, 24.06, 25.13
2014, 10, 1, 1, 2, 53, 22.72, 24.22, 25.09
2014, 10, 1, 1, 2, 54, 22.74, 23.98, 25.09
2014, 10, 1, 1, 2, 55, 22.70, 24.06, 25.02
2014, 10, 1, 1, 2, 56, 22.68, 23.41, 25.02
2014, 10, 1, 1, 2, 58, 22.68, 23.98, 24.99
2014, 10, 1, 1, 2, 59, 22.68, 25.67, 24.96
2014, 10, 1, 1, 3, 0, 22.70, 24.78, 24.92
2014, 10, 1, 1, 3, 1, 22.68, 23.33, 24.92
2014, 10, 1, 1, 3, 2, 22.68, 23.90, 24.89
2014, 10, 1, 1, 3, 3, 22.72, 23.82, 24.89
2014, 10, 1, 1, 3, 4, 22.68, 23.98, 24.82
2014, 10, 1, 1, 3, 5, 22.72, 24.22, 24.85
2014, 10, 1, 1, 3, 6, 22.59, 23.98, 24.82
2014, 10, 1, 1, 3, 7, 22.68, 23.82, 24.79
2014, 10, 1, 1, 3, 8, 22.70, 24.62, 24.75
2014, 10, 1, 1, 3, 10, 22.70, 24.30, 24.75
2014, 10, 1, 1, 3, 11, 22.76, 24.38, 24.75
2014, 10, 1, 1, 3, 12, 22.68, 23.82, 24.72
2014, 10, 1, 1, 3, 13, 22.65, 24.06, 24.72
2014, 10, 1, 1, 3, 14, 22.70, 23.66, 24.69
2014, 10, 1, 1, 3, 15, 22.65, 24.14, 24.69
2014, 10, 1, 1, 3, 16, 22.70, 24.14, 24.65
2014, 10, 1, 1, 3, 17, 22.68, 23.41, 24.62
2014, 10, 1, 1, 3, 18, 22.70, 24.22, 24.62
2014, 10, 1, 1, 3, 19, 22.68, 23.74, 24.58
2014, 10, 1, 1, 3, 21, 22.68, 24.06, 24.58
2014, 10, 1, 1, 3, 22, 22.65, 23.82, 24.55
2014, 10, 1, 1, 3, 23, 22.59, 23.90, 24.55
2014, 10, 1, 1, 3, 24, 22.65, 23.74, 24.55
2014, 10, 1, 1, 3, 25, 22.68, 24.06, 24.52
2014, 10, 1, 1, 3, 26, 22.70, 23.49, 24.48
2014, 10, 1, 1, 3, 27, 22.52, 24.86, 24.45
2014, 10, 1, 1, 3, 28, 22.65, 23.09, 24.45
2014, 10, 1, 1, 3, 29, 22.65, 23.82, 24.45
2014, 10, 1, 1, 3, 30, 22.65, 23.82, 24.45
2014, 10, 1, 1, 3, 31, 22.70, 24.14, 24.41
2014, 10, 1, 1, 3, 33, 22.70, 23.82, 24.38
2014, 10, 1, 1, 3, 34, 22.70, 23.98, 24.41
2014, 10, 1, 1, 3, 35, 22.68, 23.58, 24.38
2014, 10, 1, 1, 3, 36, 22.68, 24.70, 24.35
2014, 10, 1, 1, 3, 37, 22.70, 24.14, 24.31
2014, 10, 1, 1, 3, 38, 22.70, 24.14, 24.31
2014, 10, 1, 1, 3, 40, 22.70, 24.38, 24.31
2014, 10, 1, 1, 3, 41, 22.68, 23.98, 24.31
2014, 10, 1, 1, 3, 42, 22.72, 24.38, 24.28
2014, 10, 1, 1, 3, 43, 22.68, 23.58, 24.28
2014, 10, 1, 1, 3, 44, 22.68, 23.74, 24.25
2014, 10, 1, 1, 3, 45, 22.70, 24.30, 24.25
2014, 10, 1, 1, 3, 46, 22.65, 23.90, 24.25
2014, 10, 1, 1, 3, 47, 22.65, 24.14, 24.21
2014, 10, 1, 1, 3, 48, 22.68, 23.58, 24.21
2014, 10, 1, 1, 3, 49, 22.68, 21.96, 24.21
2014, 10, 1, 1, 3, 50, 22.70, 23.58, 24.18
2014, 10, 1, 1, 3, 52, 22.31, 23.98, 24.14
2014, 10, 1, 1, 3, 53, 22.63, 24.14, 24.18
2014, 10, 1, 1, 3, 54, 22.68, 24.22, 24.14
2014, 10, 1, 1, 3, 55, 22.65, 23.82, 24.14
2014, 10, 1, 1, 3, 56, 22.68, 23.82, 24.14
2014, 10, 1, 1, 3, 57, 22.72, 23.98, 24.11
2014, 10, 1, 1, 3, 58, 22.68, 23.98, 24.08
2014, 10, 1, 1, 3, 59, 22.65, 23.82, 24.08
2014, 10, 1, 1, 4, 0, 22.68, 24.14, 24.11
2014, 10, 1, 1, 4, 1, 22.65, 23.98, 24.08
2014, 10, 1, 1, 4, 3, 22.63, 23.17, 24.04
2014, 10, 1, 1, 4, 4, 22.65, 24.06, 24.04
